№,Code,Browser,CLDR Short Name
2145,U+1F6AC,🚬,cigarette
2146,U+26B0,⚰,coffin
2147,U+26B1,⚱,funeral urn
2148,U+1F5FF,🗿,moai
2149,U+1F6E2,🛢,oil drum
2150,U+1F52E,🔮,crystal ball
2151,U+1F6D2,🛒,shopping cart
