№	Code	Browser	CLDR Short Name
2050	U+1F4D4	📔	notebook with decorative cover
2051	U+1F4D5	📕	closed book
2052	U+1F4D6	📖	open book
2053	U+1F4D7	📗	green book
2054	U+1F4D8	📘	blue book
2055	U+1F4D9	📙	orange book
2056	U+1F4DA	📚	books
2057	U+1F4D3	📓	notebook
2058	U+1F4D2	📒	ledger
2059	U+1F4C3	📃	page with curl
2060	U+1F4DC	📜	scroll
2061	U+1F4C4	📄	page facing up
2062	U+1F4F0	📰	newspaper
2063	U+1F5DE	🗞	rolled-up newspaper
2064	U+1F4D1	📑	bookmark tabs
2065	U+1F516	🔖	bookmark
2066	U+1F3F7	🏷	label
