№,Code,Browser,CLDR Short Name
1762,U+26EA,⛪,church
1763,U+1F54C,🕌,mosque
1764,U+1F54D,🕍,synagogue
1765,U+26E9,⛩,shinto shrine
1766,U+1F54B,🕋,kaaba
