№,Code,Browser,CLDR Short Name
1949,U+1F396,🎖,military medal
1950,U+1F3C6,🏆,trophy
1951,U+1F3C5,🏅,sports medal
1952,U+1F947,🥇,1st place medal
1953,U+1F948,🥈,2nd place medal
1954,U+1F949,🥉,3rd place medal
