№	Code	Browser	CLDR Short Name
1326	U+1F44C U+1F3FE	👌🏾	OK hand: medium-dark skin tone
1327	U+1F44C U+1F3FF	👌🏿	OK hand: dark skin tone
1328	U+1F44D	👍	thumbs up
1329	U+1F44D U+1F3FB	👍🏻	thumbs up: light skin tone
1330	U+1F44D U+1F3FC	👍🏼	thumbs up: medium-light skin tone
1331	U+1F44D U+1F3FD	👍🏽	thumbs up: medium skin tone
1332	U+1F44D U+1F3FE	👍🏾	thumbs up: medium-dark skin tone
1333	U+1F44D U+1F3FF	👍🏿	thumbs up: dark skin tone
1334	U+1F44E	👎	thumbs down
1335	U+1F44E U+1F3FB	👎🏻	thumbs down: light skin tone
1336	U+1F44E U+1F3FC	👎🏼	thumbs down: medium-light skin tone
1337	U+1F44E U+1F3FD	👎🏽	thumbs down: medium skin tone
1338	U+1F44E U+1F3FE	👎🏾	thumbs down: medium-dark skin tone
1339	U+1F44E U+1F3FF	👎🏿	thumbs down: dark skin tone
1340	U+270A	✊	raised fist
1341	U+270A U+1F3FB	✊🏻	raised fist: light skin tone
1342	U+270A U+1F3FC	✊🏼	raised fist: medium-light skin tone
1343	U+270A U+1F3FD	✊🏽	raised fist: medium skin tone
1344	U+270A U+1F3FE	✊🏾	raised fist: medium-dark skin tone
1345	U+270A U+1F3FF	✊🏿	raised fist: dark skin tone
1346	U+1F44A	👊	oncoming fist
1347	U+1F44A U+1F3FB	👊🏻	oncoming fist: light skin tone
1348	U+1F44A U+1F3FC	👊🏼	oncoming fist: medium-light skin tone
1349	U+1F44A U+1F3FD	👊🏽	oncoming fist: medium skin tone
1350	U+1F44A U+1F3FE	👊🏾	oncoming fist: medium-dark skin tone
1351	U+1F44A U+1F3FF	👊🏿	oncoming fist: dark skin tone
1352	U+1F91B	🤛	left-facing fist
1353	U+1F91B U+1F3FB	🤛🏻	left-facing fist: light skin tone
1354	U+1F91B U+1F3FC	🤛🏼	left-facing fist: medium-light skin tone
1355	U+1F91B U+1F3FD	🤛🏽	left-facing fist: medium skin tone
1356	U+1F91B U+1F3FE	🤛🏾	left-facing fist: medium-dark skin tone
1357	U+1F91B U+1F3FF	🤛🏿	left-facing fist: dark skin tone
1358	U+1F91C	🤜	right-facing fist
1359	U+1F91C U+1F3FB	🤜🏻	right-facing fist: light skin tone
