№,Code,Browser,CLDR Short Name
1723,U+1F30D,🌍,globe showing Europe-Africa
1724,U+1F30E,🌎,globe showing Americas
1725,U+1F30F,🌏,globe showing Asia-Australia
1726,U+1F310,🌐,globe with meridians
1727,U+1F5FA,🗺,world map
1728,U+1F5FE,🗾,map of Japan
