№,Code,Browser,CLDR Short Name
2008,U+1F3B7,🎷,saxophone
2009,U+1F3B8,🎸,guitar
2010,U+1F3B9,🎹,musical keyboard
2011,U+1F3BA,🎺,trumpet
2012,U+1F3BB,🎻,violin
2013,U+1F941,🥁,drum
